"Mental Condition","Symptoms","Recommended Treatments","Medications","Dosage","Advanced Remedies"
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 2, V 64] One who can control his senses by practicing the regulated principles of freedom can obtain the complete mercy of the Lord. Insight: Freedom from addiction requires regulated principles (Tapas) and self-control (Vashikara)."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 6, V 35] It is possible to curb the restless mind by suitable practice and by detachment. Insight: Recovery is achieved through repeated, consistent practice (Abhyasa) of sober living and detachment (Vairagya) from the substance."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 7, V 14] This divine energy of Mine, consisting of the three modes of material nature, is difficult to overcome. But those who have surrendered unto Me can easily cross beyond it. Insight: Addiction is difficult to overcome alone; surrender to a higher power (Step 3 in 12-Steps) for strength."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 12, V 9] If you cannot fix your mind upon Me without deviation, then follow the regulative principles of Bhakti-yoga. Insight: If immediate focus (sobriety) is difficult, focus on the structured 'regulative principles' (12-Steps, daily routine, sponsor meetings)."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 2, V 62] While contemplating the objects of the senses, a person develops attachment for them... from lust anger arises. Insight: Stopping the craving starts with stopping the initial contemplation of the substance (Dhyana)."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 12, V 9] If you cannot fix your mind upon Me without deviation, then follow the regulative principles of Bhakti-yoga. Insight: Use the strict, regulated routine of the 12-Steps/rehab (regulative principles) to anchor the unstable mind."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 6, V 5] One must deliver himself with the help of his mind, and not degrade himself. Insight: Sobriety is the ultimate act of self-delivery, using one's own mind and will to stop the self-degrading behavior."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 18, V 47] It is better to engage in one's own occupation, even though one may perform it imperfectly. Insight: Focus on the daily duty of self-care and sobriety, even if performed imperfectly (relapse is part of recovery)."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 6, V 16] There is no possibility of one's becoming a yogi... if one eats too much or too little, sleeps too much or does not sleep enough. Insight: Balance (*Yukta*) in habits, especially sleep and diet, is essential to steady the mind from hyperactivity."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 2, V 41] Those who are on this path are resolute in purpose, and their aim is one. The intelligence of those who are irresolute is many-branched. Insight: Fight irresolution (scattered attention) by focusing on *one* primary goal or task at a time."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 3, V 8] Perform your prescribed duty, for action is better than inaction. Insight: Channel hyperactivity and impulsivity into constructive, prescribed duties (work, study, chores) rather than letting the energy dissipate randomly."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 6, V 17] He who is regulated in his habits of eating, sleeping, recreation and work can mitigate all material pains. Insight: Adherence to strict routines and regulation (Yukta-ahara-viharasya) is the foundation for overcoming inattention and impulsivity."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 18, V 9] All prescribed duties should be performed without attachment to the results. Insight: Detach from the immediate gratification of hyperfocus (impulsivity) and do the necessary, even if less interesting, duty."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 1, V 47] Arjuna threw aside his bow and arrows and sat down on the chariot. Insight: Recognize the moments of overwhelm/inattention (throwing aside work) and use them as a cue to take a brief, restorative pause."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 15, V 7] The living entities in this conditioned world are My eternal fragmental parts. Insight: Recognize your intrinsic worth is not tied to your productivity or focus. You are a valuable 'fragmental part' regardless of performance."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 6, V 35] It is possible to curb the restless mind by suitable practice and by detachment. Insight: The hyperactivity (restless mind) is curbed by consistent practice (Abhyasa) of focus and detachment (Vairagya) from distraction."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 18, V 40] There is no being existing... which is freed from the three modes of nature. Insight: Accept that some inattention/impulsivity is simply the nature (mode) of the mind; focus on mitigating, not eradicating, the symptoms."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 4, V 33] The sacrifice performed in knowledge is better than the mere sacrifice of material possessions. Insight: Channel the energy (material possession) into a dedicated focus (knowledge/study) to make the action truly purifying."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 10, V 4] Intelligence, knowledge, freedom from doubt and delusion... all these various qualities of living beings are created by Me alone. Insight: Your intelligence (Buddhi) is divinely created. Use it to choose focused action over distraction."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 3, V 8] Perform your prescribed duty, for action is better than inaction. Insight: Channel the restless energy (hyperactivity) into productive, prescribed duties (Dharma) instead of letting it scatter into distraction."
"ADHD","","inattention; hyperactivity; impulsivity; difficulty focusing; forgetfulness [ICD-10: F90.9, ICD-11: 6A05, DSM-5: 314.00-314.01], Behavioral therapy; Parent training; Social skills training; Executive function coaching; Medication management","Methylphenidate 10mg (Rx - Ritalin, Addwize, Inspiral - Schedule X); Atomoxetine 40mg (Rx - Axepta, Tomox, Attentrol)","Methylphenidate: 10-60mg daily (initial 10mg, increase by 5-10mg weekly; max 60mg; short/long-acting formulations); Atomoxetine: 40-100mg daily (initial 40mg, increase after 3 days to 80mg; max 100mg; take with food)","[Gita, Ch 6, V 35] It is possible to curb the restless mind by suitable practice and by detachment. Insight: The distracted mind is curbed by consistent practice (Abhyasa) of focus techniques and detachment (Vairagya) from the desire for novelty."
"Adjustment Disorder","stressful life event; symptoms develop within 3 months; distress; impaired functioning [ICD-10: F43.2, ICD-11: 6B43, DSM-5: 309.24-309.9]","Short-term counseling (CBT - 6-12 sessions); Crisis intervention; Support groups; Stress management; Psychoeducation","None Typically; Anxiolytics (short-term) - Clonazepam 0.5mg (Rx - Clonapax, Epitril)","Clonazepam (short-term): 0.25-0.5mg twice daily (max 2 weeks; taper to discontinue)","[Gita, Ch 2, V 40] In this endeavor there is no loss or diminution, and a little advancement can protect one from the most dangerous type of fear. Insight: Acknowledge the current loss/diminution due to the event, but trust that effort (even small steps of adjustment) are never wasted."
"Adjustment Disorder","stressful life event; symptoms develop within 3 months; distress; impaired functioning [ICD-10: F43.2, ICD-11: 6B43, DSM-5: 309.24-309.9]","Short-term counseling (CBT - 6-12 sessions); Crisis intervention; Support groups; Stress management; Psychoeducation","None Typically; Anxiolytics (short-term) - Clonazepam 0.5mg (Rx - Clonapax, Epitril)","Clonazepam (short-term): 0.25-0.5mg twice daily (max 2 weeks; taper to discontinue)","[Gita, Ch 2, V 14] Happiness and distress come and go like winter and summer seasons. Insight: The stressful event is a 'season' of distress; it will not last. Tolerate (Titiksha) the discomfort until the season changes."
"Adjustment Disorder","stressful life event; symptoms develop within 3 months; distress; impaired functioning [ICD-10: F43.2, ICD-11: 6B43, DSM-5: 309.24-309.9]","Short-term counseling (CBT - 6-12 sessions); Crisis intervention; Support groups; Stress management; Psychoeducation","None Typically; Anxiolytics (short-term) - Clonazepam 0.5mg (Rx - Clonapax, Epitril)","Clonazepam (short-term): 0.25-0.5mg twice daily (max 2 weeks; taper to discontinue)","[Gita, Ch 18, V 63] Deliberate on this fully, and then do what you wish to do. Insight: Use the intelligence (Buddhi) gained in counseling to choose the appropriate path forward after the crisis."
"Adjustment Disorder","stressful life event; symptoms develop within 3 months; distress; impaired functioning [ICD-10: F43.2, ICD-11: 6B43, DSM-5: 309.24-309.9]","Short-term counseling (CBT - 6-12 sessions); Crisis intervention; Support groups; Stress management; Psychoeducation","None Typically; Anxiolytics (short-term) - Clonazepam 0.5mg (Rx - Clonapax, Epitril)","Clonazepam (short-term): 0.25-0.5mg twice daily (max 2 weeks; taper to discontinue)","[Gita, Ch 1, V 30] Arjuna’s bow was slipping from his hand, and his skin was burning. Insight: Normalize the physical and emotional overwhelm that occurs in response to major life stress."
